,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.83860981 0.20397909],3,-1,-1,0,-1
1,[0.33255236 0.82327056],0,1,"[0.31635943853136894, 0.8284754426855676]",3,2
2,[0.3647074 0.7332369],0,-1,-1,3,2
3,[0.68878377 0.82015011],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
4,[0.26936383 0.23054139],2,2,"[0.25591153782080256, 0.20250193640500103]",1,0
5,[0.68667366 0.81603876],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
6,[0.31052215 0.15842842],2,-1,-1,1,0
7,[0.69074433 0.87330396],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
8,[0.19245958 0.32743993],2,-1,-1,1,0
9,[0.68159837 0.83434565],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
10,[0.69624764 0.83614868],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
11,[0.84843412 0.20479236],3,-1,-1,0,-1
12,[0.73364896 0.84221042],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
13,[0.27518218 0.24394241],2,2,"[0.25591153782080256, 0.20250193640500103]",1,0
14,[0.18298386 0.23757723],2,-1,-1,1,0
15,[0.80111814 0.20318575],3,0,"[0.7923800141046794, 0.15008523474637495]",0,-1
16,[0.87917573 0.16875703],3,-1,-1,0,-1
17,[0.80679787 0.13662229],3,0,"[0.7923800141046794, 0.15008523474637495]",0,-1
18,[0.80077833 0.18293035],3,0,"[0.7923800141046794, 0.15008523474637495]",0,-1
19,[0.68259111 0.97273436],1,-1,-1,2,1
20,[0.72750618 0.2538699 ],3,-1,-1,0,-1
21,[0.27956412 0.22469824],2,2,"[0.25591153782080256, 0.20250193640500103]",1,0
22,[0.79743227 0.17760464],3,0,"[0.7923800141046794, 0.15008523474637495]",0,-1
23,[0.27543238 0.2177331 ],2,2,"[0.25591153782080256, 0.20250193640500103]",1,0
24,[0.32953345 0.86929224],0,1,"[0.31635943853136894, 0.8284754426855676]",3,2
25,[0.22733149 0.20965876],2,2,"[0.25591153782080256, 0.20250193640500103]",1,0
26,[0.71259649 0.81527121],1,3,"[0.6877112580405751, 0.8507547877443815]",2,1
