,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.6137285  0.88083192],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
1,[0.54480799 0.90767391],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
2,[0.5809831  0.79317612],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
3,[0.67428919 0.82149653],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
4,[0.56006021 0.8030087 ],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
5,[0.51529031 0.79910877],0,-1,-1,2,-1
6,[0.54232367 0.79026254],0,-1,-1,2,-1
7,[0.5652464  0.88374105],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
8,[0.58995959 0.85192424],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
9,[0.63380812 0.84187597],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
10,[0.59337575 0.92481466],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
11,[0.53918634 0.8070213 ],0,-1,-1,2,-1
12,[0.62653812 0.79807635],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
13,[0.65529271 0.88758182],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
14,[0.61295387 0.87828939],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
15,[0.55706348 0.8798393 ],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
16,[0.62026831 0.86456636],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
17,[0.59794857 0.91606752],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
18,[0.5361316 0.8247205],0,-1,-1,2,-1
19,[0.55122874 0.80145477],0,-1,-1,2,-1
20,[0.58580491 0.81797235],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
21,[0.60149111 0.81710893],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
22,[0.70005466 0.77531148],0,-1,-1,2,-1
23,[0.58941341 0.9675528 ],0,-1,-1,2,-1
24,[0.62949052 0.79110281],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
25,[0.63782705 0.74709098],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
26,[0.63521156 0.77633516],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
27,[0.60206933 0.80190386],0,0,"[0.6225303797369339, 0.7999227056813207]",2,-1
28,[0.59218854 0.8468141 ],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
29,[0.57835763 0.84706795],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
30,[0.60215097 0.91200476],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
31,[0.62222262 0.86471433],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
32,[0.60812204 0.88548137],0,1,"[0.5934716053375109, 0.8764048710781301]",2,5
33,[0.60746886 0.89247481],0,1,"[0.5934716053375109, 0.8764048710781301]",2,-1
