,index,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error,error_mean,error_std
0,0,4,0.93,0.87,32,25,0,1000,1.0,4,True,,,0.121940564400905,0.044473397984254,0.050218575089495
1,1,4,0.93,0.87,32,25,0,1000,1.0,4,False,,,0.38569710290358106,0.36839407780592603,0.258625823004666
2,2,6,0.93,0.87,32,25,0,1000,1.0,6,True,,,0.08378233523856901,0.090096271074696,0.05925926972746601
3,3,6,0.93,0.87,32,25,0,1000,1.0,6,False,,,0.593627973613267,0.432371535781905,0.24225362145091703
4,4,10,0.93,0.87,32,25,0,1000,1.0,10,True,,,0.127856260099733,0.18125263344841702,0.07189862357137501
5,5,10,0.93,0.87,32,25,0,1000,1.0,10,False,,,0.9059647358738421,0.48276432557250304,0.215948301374482
6,6,20,0.93,0.87,32,25,0,1000,1.0,20,True,,,0.5561230977739651,0.490895577843438,0.10152867883200101
7,7,20,0.93,0.87,32,25,0,1000,1.0,20,False,,,0.634569412317988,0.6812971824561751,0.179866790965789
8,8,50,0.93,0.87,32,25,0,1000,1.0,50,True,,,1.388294364980774,1.445010521783022,0.12220244940020102
9,9,50,0.93,0.87,32,25,0,1000,1.0,50,False,,,1.6137551370013798,1.5284210530063511,0.12813119907617201
10,10,100,0.93,0.87,32,25,0,1000,1.0,100,True,,,3.669154620194586,3.26261408256643,0.161136063769745
11,11,100,0.93,0.87,32,25,0,1000,1.0,100,False,,,3.294314195140645,3.344510791668911,0.17550208066379103
12,12,4,0.93,0.87,32,25,0,1000,1.2,4,True,,,0.10359023465409001,0.08622271018884001,0.13030572413491
13,13,4,0.93,0.87,32,25,0,1000,1.2,4,False,,,0.437766158454827,0.44204471666117906,0.28176084026486703
14,14,6,0.93,0.87,32,25,0,1000,1.2,6,True,,,0.276914871760137,0.134607260306183,0.09447244303883201
15,15,6,0.93,0.87,32,25,0,1000,1.2,6,False,,,0.8696865487005541,0.525300331459991,0.25158974903604503
16,16,10,0.93,0.87,32,25,0,1000,1.2,10,True,,,0.11585050703088001,0.23597746085169702,0.1002821090568
17,17,10,0.93,0.87,32,25,0,1000,1.2,10,False,,,1.114264726613556,0.635034692288669,0.262178597058686
18,18,20,0.93,0.87,32,25,0,1000,1.2,20,True,,,0.678516224368498,0.611594517507816,0.09662607034933
19,19,20,0.93,0.87,32,25,0,1000,1.2,20,False,,,1.153603100954635,0.8548459968147041,0.19660556361526602
20,20,50,0.93,0.87,32,25,0,1000,1.2,50,True,,,1.623681853040075,1.664769614369833,0.12106655852818801
21,21,50,0.93,0.87,32,25,0,1000,1.2,50,False,,,1.702107538868547,1.717988058558006,0.129242298435834
22,22,100,0.93,0.87,32,25,0,1000,1.2,100,True,,,3.676054718468821,3.452108187853738,0.14672858280586001
23,23,100,0.93,0.87,32,25,0,1000,1.2,100,False,,,3.534961213146342,3.4606896589523153,0.160975036876424
24,24,4,0.93,0.87,32,25,0,1000,1.5,4,True,,,0.131772071322065,0.11293079651356001,0.131764766342213
25,25,4,0.93,0.87,32,25,0,1000,1.5,4,False,,,0.421385807783544,0.5209890752013321,0.28419758177269905
26,26,6,0.93,0.87,32,25,0,1000,1.5,6,True,,,0.314509345722681,0.18320217080869902,0.12081204118496101
27,27,6,0.93,0.87,32,25,0,1000,1.5,6,False,,,0.8676303211091001,0.5843800964454711,0.24233859093148602
28,28,10,0.93,0.87,32,25,0,1000,1.5,10,True,,,0.18627137716198303,0.31545598547463904,0.105898795031673
29,29,10,0.93,0.87,32,25,0,1000,1.5,10,False,,,1.123708539309667,0.7711665013221181,0.260557205074182
30,30,20,0.93,0.87,32,25,0,1000,1.5,20,True,,,0.7140429064746671,0.743999973636372,0.102318457470603
31,31,20,0.93,0.87,32,25,0,1000,1.5,20,False,,,0.9542025600521801,0.9830469989211721,0.19521609794445902
32,32,50,0.93,0.87,32,25,0,1000,1.5,50,True,,,1.681101307068169,1.8445628669309722,0.142719540607284
33,33,50,0.93,0.87,32,25,0,1000,1.5,50,False,,,1.8960519228424162,1.874345183964889,0.151178317477681
34,34,100,0.93,0.87,32,25,0,1000,1.5,100,True,,,3.591618471867273,3.570154648725733,0.18332686391524
35,35,100,0.93,0.87,32,25,0,1000,1.5,100,False,,,3.649947465146947,3.539190693410597,0.17810416389267603
36,36,4,0.93,0.87,32,25,0,1000,2.0,4,True,,,0.18023616211339902,0.186549258649143,0.136374829731974
37,37,4,0.93,0.87,32,25,0,1000,2.0,4,False,,,0.259474468218166,0.503799374613575,0.23050381013385102
38,38,6,0.93,0.87,32,25,0,1000,2.0,6,True,,,0.49382636569786204,0.29564358166036003,0.137771684285887
39,39,6,0.93,0.87,32,25,0,1000,2.0,6,False,,,0.703791785918753,0.586236881609149,0.215577381103667
40,40,10,0.93,0.87,32,25,0,1000,2.0,10,True,,,0.31606608433371103,0.47380784089125005,0.12367824863359501
41,41,10,0.93,0.87,32,25,0,1000,2.0,10,False,,,0.930008358754395,0.7590923390085681,0.21853759958901703
42,42,20,0.93,0.87,32,25,0,1000,2.0,20,True,,,1.145898066574233,0.9243652227584551,0.11958733286772501
43,43,20,0.93,0.87,32,25,0,1000,2.0,20,False,,,1.024787069805853,1.048064194362211,0.178015215471818
44,44,50,0.93,0.87,32,25,0,1000,2.0,50,True,,,1.891585538065291,1.907351177039535,0.12924179551317702
45,45,50,0.93,0.87,32,25,0,1000,2.0,50,False,,,1.8311629708932222,1.9208771477820972,0.12787688004359202
46,46,100,0.93,0.87,32,25,0,1000,2.0,100,True,,,3.377774554286755,3.600212129794443,0.18073311613516202
47,47,100,0.93,0.87,32,25,0,1000,2.0,100,False,,,3.370507527202883,3.546385168826609,0.17905140944233802
48,48,4,0.93,0.87,32,50,0,2000,1.0,4,True,,,0.16115519857028401,0.048052092273223004,0.06961503130825901
49,49,4,0.93,0.87,32,50,0,2000,1.0,4,False,,,0.27892139991965303,0.40601508496020006,0.29460459823877905
50,50,6,0.93,0.87,32,50,0,2000,1.0,6,True,,,0.056059139131903,0.092307962072077,0.080332268983914
51,51,6,0.93,0.87,32,50,0,2000,1.0,6,False,,,0.797039502608866,0.485499397611924,0.272484847549882
52,52,10,0.93,0.87,32,50,0,2000,1.0,10,True,,,0.26075714708629705,0.17184719142391,0.080280790097283
53,53,10,0.93,0.87,32,50,0,2000,1.0,10,False,,,0.734949021851321,0.591928756846508,0.28354885599141605
54,54,20,0.93,0.87,32,50,0,2000,1.0,20,True,,,0.46307801403651006,0.460858932150822,0.08883942608665
55,55,20,0.93,0.87,32,50,0,2000,1.0,20,False,,,0.863245923678232,0.7797026204278681,0.21165572081401302
56,56,50,0.93,0.87,32,50,0,2000,1.0,50,True,,,1.322187597979494,1.372279911053645,0.11074368844825501
57,57,50,0.93,0.87,32,50,0,2000,1.0,50,False,,,1.4209296729971221,1.5189211334137411,0.15556094043599603
58,58,100,0.93,0.87,32,50,0,2000,1.0,100,True,,,3.0129110626088,3.006054658264252,0.13757794757705202
59,59,100,0.93,0.87,32,50,0,2000,1.0,100,False,,,3.123469957608181,3.090780580761183,0.18531450336853802
60,60,4,0.93,0.87,32,50,0,2000,1.2,4,True,,,0.22303492315198803,0.083896832917235,0.12149028471000901
61,61,4,0.93,0.87,32,50,0,2000,1.2,4,False,,,0.104398739652692,0.46471775933922804,0.279207883417382
62,62,6,0.93,0.87,32,50,0,2000,1.2,6,True,,,0.315146108070524,0.110853521376993,0.08111851281309901
63,63,6,0.93,0.87,32,50,0,2000,1.2,6,False,,,0.8665528609509351,0.5847947095235481,0.274760559964618
64,64,10,0.93,0.87,32,50,0,2000,1.2,10,True,,,0.20528712210681702,0.250636853086714,0.130296822042964
65,65,10,0.93,0.87,32,50,0,2000,1.2,10,False,,,1.064256514559717,0.7058765372391651,0.283587075773227
66,66,20,0.93,0.87,32,50,0,2000,1.2,20,True,,,0.519352451883308,0.5811646321797771,0.10268685953257001
67,67,20,0.93,0.87,32,50,0,2000,1.2,20,False,,,0.9151700505684081,0.9075618070847691,0.21805590066048103
68,68,50,0.93,0.87,32,50,0,2000,1.2,50,True,,,1.564938048235037,1.5732875960858421,0.10920936520171601
69,69,50,0.93,0.87,32,50,0,2000,1.2,50,False,,,1.567953292676187,1.6899909148093961,0.12394869738875501
70,70,100,0.93,0.87,32,50,0,2000,1.2,100,True,,,3.060678385777347,3.194652550308658,0.138534271021323
71,71,100,0.93,0.87,32,50,0,2000,1.2,100,False,,,3.388242928266851,3.240008377996042,0.16145777111953102
72,72,4,0.93,0.87,32,50,0,2000,1.5,4,True,,,0.184933894316217,0.104637498536569,0.13312222084553402
73,73,4,0.93,0.87,32,50,0,2000,1.5,4,False,,,0.37257306286323405,0.486952199472918,0.255286724763348
74,74,6,0.93,0.87,32,50,0,2000,1.5,6,True,,,0.360332596727903,0.16692638942871801,0.11896580186671502
75,75,6,0.93,0.87,32,50,0,2000,1.5,6,False,,,0.42029279781148504,0.6054019044315151,0.239842317258762
76,76,10,0.93,0.87,32,50,0,2000,1.5,10,True,,,0.582914652161006,0.326484823458901,0.10882593487396001
77,77,10,0.93,0.87,32,50,0,2000,1.5,10,False,,,0.6900838096144221,0.78205624216097,0.28938990720677205
78,78,20,0.93,0.87,32,50,0,2000,1.5,20,True,,,0.627536572189733,0.742979421340872,0.11014168125170001
79,79,20,0.93,0.87,32,50,0,2000,1.5,20,False,,,1.103511366314736,1.010846236391745,0.21626601189812203
80,80,50,0.93,0.87,32,50,0,2000,1.5,50,True,,,1.8089139575557351,1.75513725256444,0.11443674400171701
81,81,50,0.93,0.87,32,50,0,2000,1.5,50,False,,,1.905688738169071,1.789099914708266,0.134677957633408
82,82,100,0.93,0.87,32,50,0,2000,1.5,100,True,,,3.239824780978037,3.354369664603181,0.150099373090809
83,83,100,0.93,0.87,32,50,0,2000,1.5,100,False,,,3.280209173255902,3.334418740629169,0.163481458826607
84,84,4,0.93,0.87,32,50,0,2000,2.0,4,True,,,0.23096428291401802,0.151109714055903,0.12968726588249202
85,85,4,0.93,0.87,32,50,0,2000,2.0,4,False,,,0.26007935056813103,0.503907668351531,0.25975150810601805
86,86,6,0.93,0.87,32,50,0,2000,2.0,6,True,,,0.36058494982571404,0.262386663448475,0.151432608259007
87,87,6,0.93,0.87,32,50,0,2000,2.0,6,False,,,0.44393157941738104,0.58449610126646,0.23456160395932502
88,88,10,0.93,0.87,32,50,0,2000,2.0,10,True,,,0.617254785703442,0.45701851608755,0.13598810437369802
89,89,10,0.93,0.87,32,50,0,2000,2.0,10,False,,,0.976246501642093,0.749953710633924,0.226443826594727
90,90,20,0.93,0.87,32,50,0,2000,2.0,20,True,,,0.8013358818591181,0.892603522154765,0.119975878113799
91,91,20,0.93,0.87,32,50,0,2000,2.0,20,False,,,1.033931605926253,1.040556843844933,0.18920689641180502
92,92,50,0.93,0.87,32,50,0,2000,2.0,50,True,,,1.9689780937246972,1.839558727032153,0.12042092390297601
93,93,50,0.93,0.87,32,50,0,2000,2.0,50,False,,,1.908810730785786,1.843132070576384,0.13049863080423102
94,94,100,0.93,0.87,32,50,0,2000,2.0,100,True,,,3.461017391730254,3.412752034933794,0.144308142908945
95,95,100,0.93,0.87,32,50,0,2000,2.0,100,False,,,3.124331413632558,3.308005016143765,0.13561931199215702
