,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error
0,4,0.93,0.87,32,25,0,1000,1.0,4,True,,,0.121940564400905
1,4,0.93,0.87,32,25,0,1000,1.0,4,False,,,0.38569710290358106
2,6,0.93,0.87,32,25,0,1000,1.0,6,True,,,0.08378233523856901
3,6,0.93,0.87,32,25,0,1000,1.0,6,False,,,0.593627973613267
4,10,0.93,0.87,32,25,0,1000,1.0,10,True,,,0.127856260099733
5,10,0.93,0.87,32,25,0,1000,1.0,10,False,,,0.9059647358738421
6,20,0.93,0.87,32,25,0,1000,1.0,20,True,,,0.5561230977739651
7,20,0.93,0.87,32,25,0,1000,1.0,20,False,,,0.634569412317988
8,50,0.93,0.87,32,25,0,1000,1.0,50,True,,,1.388294364980774
9,50,0.93,0.87,32,25,0,1000,1.0,50,False,,,1.61375513700138
10,100,0.93,0.87,32,25,0,1000,1.0,100,True,,,3.669154620194586
11,100,0.93,0.87,32,25,0,1000,1.0,100,False,,,3.294314195140645
12,4,0.93,0.87,32,25,0,1000,1.2,4,True,,,0.10359023465409001
13,4,0.93,0.87,32,25,0,1000,1.2,4,False,,,0.437766158454827
14,6,0.93,0.87,32,25,0,1000,1.2,6,True,,,0.276914871760137
15,6,0.93,0.87,32,25,0,1000,1.2,6,False,,,0.8696865487005541
16,10,0.93,0.87,32,25,0,1000,1.2,10,True,,,0.11585050703088001
17,10,0.93,0.87,32,25,0,1000,1.2,10,False,,,1.114264726613556
18,20,0.93,0.87,32,25,0,1000,1.2,20,True,,,0.678516224368498
19,20,0.93,0.87,32,25,0,1000,1.2,20,False,,,1.153603100954635
20,50,0.93,0.87,32,25,0,1000,1.2,50,True,,,1.623681853040075
21,50,0.93,0.87,32,25,0,1000,1.2,50,False,,,1.702107538868547
22,100,0.93,0.87,32,25,0,1000,1.2,100,True,,,3.676054718468821
23,100,0.93,0.87,32,25,0,1000,1.2,100,False,,,3.534961213146342
24,4,0.93,0.87,32,25,0,1000,1.5,4,True,,,0.131772071322065
25,4,0.93,0.87,32,25,0,1000,1.5,4,False,,,0.421385807783544
26,6,0.93,0.87,32,25,0,1000,1.5,6,True,,,0.314509345722681
27,6,0.93,0.87,32,25,0,1000,1.5,6,False,,,0.8676303211091001
28,10,0.93,0.87,32,25,0,1000,1.5,10,True,,,0.18627137716198303
29,10,0.93,0.87,32,25,0,1000,1.5,10,False,,,1.123708539309667
30,20,0.93,0.87,32,25,0,1000,1.5,20,True,,,0.7140429064746671
31,20,0.93,0.87,32,25,0,1000,1.5,20,False,,,0.9542025600521801
32,50,0.93,0.87,32,25,0,1000,1.5,50,True,,,1.681101307068169
33,50,0.93,0.87,32,25,0,1000,1.5,50,False,,,1.8960519228424162
34,100,0.93,0.87,32,25,0,1000,1.5,100,True,,,3.591618471867273
35,100,0.93,0.87,32,25,0,1000,1.5,100,False,,,3.649947465146947
36,4,0.93,0.87,32,25,0,1000,2.0,4,True,,,0.18023616211339902
37,4,0.93,0.87,32,25,0,1000,2.0,4,False,,,0.259474468218166
38,6,0.93,0.87,32,25,0,1000,2.0,6,True,,,0.49382636569786204
39,6,0.93,0.87,32,25,0,1000,2.0,6,False,,,0.703791785918753
40,10,0.93,0.87,32,25,0,1000,2.0,10,True,,,0.31606608433371103
41,10,0.93,0.87,32,25,0,1000,2.0,10,False,,,0.930008358754395
42,20,0.93,0.87,32,25,0,1000,2.0,20,True,,,1.145898066574233
43,20,0.93,0.87,32,25,0,1000,2.0,20,False,,,1.024787069805853
44,50,0.93,0.87,32,25,0,1000,2.0,50,True,,,1.891585538065291
45,50,0.93,0.87,32,25,0,1000,2.0,50,False,,,1.8311629708932222
46,100,0.93,0.87,32,25,0,1000,2.0,100,True,,,3.377774554286755
47,100,0.93,0.87,32,25,0,1000,2.0,100,False,,,3.370507527202883
48,4,0.93,0.87,32,50,0,2000,1.0,4,True,,,0.16115519857028401
49,4,0.93,0.87,32,50,0,2000,1.0,4,False,,,0.27892139991965303
50,6,0.93,0.87,32,50,0,2000,1.0,6,True,,,0.056059139131903
51,6,0.93,0.87,32,50,0,2000,1.0,6,False,,,0.797039502608866
52,10,0.93,0.87,32,50,0,2000,1.0,10,True,,,0.26075714708629705
53,10,0.93,0.87,32,50,0,2000,1.0,10,False,,,0.734949021851321
54,20,0.93,0.87,32,50,0,2000,1.0,20,True,,,0.46307801403651006
55,20,0.93,0.87,32,50,0,2000,1.0,20,False,,,0.863245923678232
56,50,0.93,0.87,32,50,0,2000,1.0,50,True,,,1.322187597979494
57,50,0.93,0.87,32,50,0,2000,1.0,50,False,,,1.4209296729971221
58,100,0.93,0.87,32,50,0,2000,1.0,100,True,,,3.0129110626088
59,100,0.93,0.87,32,50,0,2000,1.0,100,False,,,3.123469957608181
60,4,0.93,0.87,32,50,0,2000,1.2,4,True,,,0.22303492315198803
61,4,0.93,0.87,32,50,0,2000,1.2,4,False,,,0.104398739652692
62,6,0.93,0.87,32,50,0,2000,1.2,6,True,,,0.315146108070524
63,6,0.93,0.87,32,50,0,2000,1.2,6,False,,,0.8665528609509351
64,10,0.93,0.87,32,50,0,2000,1.2,10,True,,,0.20528712210681702
65,10,0.93,0.87,32,50,0,2000,1.2,10,False,,,1.064256514559717
66,20,0.93,0.87,32,50,0,2000,1.2,20,True,,,0.519352451883308
67,20,0.93,0.87,32,50,0,2000,1.2,20,False,,,0.9151700505684081
68,50,0.93,0.87,32,50,0,2000,1.2,50,True,,,1.564938048235037
69,50,0.93,0.87,32,50,0,2000,1.2,50,False,,,1.567953292676187
70,100,0.93,0.87,32,50,0,2000,1.2,100,True,,,3.060678385777347
71,100,0.93,0.87,32,50,0,2000,1.2,100,False,,,3.388242928266851
72,4,0.93,0.87,32,50,0,2000,1.5,4,True,,,0.184933894316217
73,4,0.93,0.87,32,50,0,2000,1.5,4,False,,,0.37257306286323405
74,6,0.93,0.87,32,50,0,2000,1.5,6,True,,,0.360332596727903
75,6,0.93,0.87,32,50,0,2000,1.5,6,False,,,0.42029279781148504
76,10,0.93,0.87,32,50,0,2000,1.5,10,True,,,0.582914652161006
77,10,0.93,0.87,32,50,0,2000,1.5,10,False,,,0.6900838096144221
78,20,0.93,0.87,32,50,0,2000,1.5,20,True,,,0.627536572189733
79,20,0.93,0.87,32,50,0,2000,1.5,20,False,,,1.103511366314736
80,50,0.93,0.87,32,50,0,2000,1.5,50,True,,,1.8089139575557351
